event_id,creator,ticker,event_date,recommendation_type,evidence_quote,event_quality_score,reason_for_inclusion,quick_review_result,quick_notes
718,Jose Najarro Stocks,AMD,2026-02-04,sell,street was expecting somewhere around 9.4 four now guidance saw a beaten outperformance right a raise you did see a beat in earnings per share and revenue was a beat even if you subtract the kind of China market now in a market and I'm sorry for saying now too often in a market where memory companies are seeing massive,47,lowest_quality_score,,
1501,Sasha Yanshin,AMD,2023-02-13,buy,based on my calculations and Analysis I would say that Tesla stock is currently about 20 undervalued compared to its fair value of course this is just my estimation on the stock market is subject to fluctuation so make sure you do your own research before making in any investing decisions so we have an answer Tesla sto,47,lowest_quality_score,,
530,Jose Najarro Stocks,TSLA,2025-10-22,buy,"cops don't mess around with that. So that's why I agree with Elon. would be a massive motivator for people to buy a Tesla if they could have the software that requires them to not worry about it. But it feels like that's not happening next year. And if it does, that's >> a lot of people spend 40 minutes to an hour driv",48,lowest_quality_score,,
1269,HyperChange,TSLA,2024-02-13,buy,portfolio I want to inspire people and educate them of this is how you make a plan come up with savings add to it every month and then that's how you build wealth and set up for retirement um and that's kind of my whole mission with the channel and being a Creator is open sourcing my investment Journey my investment di,61,duplicate_cluster_member,,
1270,HyperChange,TSLA,2024-02-13,buy,I'm like oh my God it's coinbase crumbling I'm making such a dumb move um you always the best moves in retrospect are always this moves where you feel like an idiot and Al loone making them which I think is funny rivan went into rivan we'll talk about that went into Bitcoin um or I've had my Bitcoin position but that's,56,duplicate_cluster_member,,
1271,HyperChange,TSLA,2024-02-13,buy,trade which lost me some goop and I learned a good lesson so I'm pretty proud of how things are going but the point here is I'm not trying to hide this my portfolio and my investment schemes 39 days into this challenge have been significantly shittier than just holding it into Cash making zero or the obvious move of pu,72,duplicate_cluster_member,,
1272,HyperChange,TSLA,2024-02-13,buy,so that's what I was doing there but I also uh 5 days after I did this ad on January 31st this Delaware judge basically voided Elon Musk 2018 pay package which is insane by the way like I just think that's absolutely crazy that you could go back 6 years later retroactively take away a shareholder vote this is causing a,56,duplicate_cluster_member,,
1273,HyperChange,TSLA,2024-02-13,buy,where I made my rivan trade so this was my uh Tesla had been doing a little bit better um I had 250 bucks to get added um automatically every Monday so then I had 250 bucks in cash and rivan stock was down to 15 this is a$ 15 billion doll market cap um I really like rivan right now and they just said that they are unve,58,duplicate_cluster_member,,
1310,Financial Education,AMD,2025-10-20,sell,is very fair. That puts a stock somewhere between we can call it about $750 in the low 900s come 2029 which gives me a kagar of uh you know we can call it 30s to 40s%. Woo. What if that's low? It's possible. It's very possible that those numbers end up being low. And the net income margins I have here are 22% come 2029,56,random_seed_42,,
229,"Mark Roussin, CPA",AAPL,2024-01-18,sell,sure it's going to grow but the stock needs to grow that they have to get some something out of it just because we have 40% service let's say service revenues ended up being 40% of total um overall company revenues well if the company is still only growing revenues by 3% because iPhone sales have come so far down becau,75,random_seed_42,,
52,Jose Najarro Stocks,META,2026-01-25,sell,basically a lot of analysts were starting to declare them dead and the company um valuation dropped roughly 70% in a very short period of time which was unbelievable for a company that was generating the kind of cash that Meta was. And a lot of the criticism was coming uh uh that um no one uses fa Facebook anymore and,67,random_seed_42,,
1519,Ticker Symbol: YOU,AMD,2022-11-14,buy,for that one little module not build an entirely new chip likewise AMD can build their own semi-custom designs based on a customer's power performance and cost requirements by changing out or tuning certain chiplets AMD actually already does this with video game consoles like the steam deck PlayStation and Xbox all of,59,random_seed_42,,
564,Jose Najarro Stocks,PLTR,2025-11-04,sell,Q3 is over of course when October starts. October started here Friday at a hundred and 80 bucks a share. We are now still at 188 dollars a share. I don't know when he started his put. Maybe he started here at 157. Maybe he started here in August at 187. And if you uh it's crazy. And then you still have the time decay b,57,random_seed_42,,
